{'epoch': 1, 'train_loss': 1.6153678324109033, 'eval_losss': 1.4807138517782261, 'scores': {'f1_macro': 0.478349030378216, 'accuracy': 0.4819047619047619}, 'train_time': 19.69624, 'eval_time': 5.03874}
{'epoch': 2, 'train_loss': 1.328793476110413, 'eval_losss': 1.3115117511368524, 'scores': {'f1_macro': 0.5350044930494452, 'accuracy': 0.540952380952381}, 'train_time': 19.38959, 'eval_time': 4.85484}
{'epoch': 3, 'train_loss': 1.2363414307435354, 'eval_losss': 1.270702212935618, 'scores': {'f1_macro': 0.541420504480682, 'accuracy': 0.5597619047619048}, 'train_time': 19.19594, 'eval_time': 5.0209}
{'epoch': 4, 'train_loss': 1.179440221786499, 'eval_losss': 1.1982723467703555, 'scores': {'f1_macro': 0.5517373509180415, 'accuracy': 0.575}, 'train_time': 19.37021, 'eval_time': 5.07354}
{'epoch': 5, 'train_loss': 1.1424722122294562, 'eval_losss': 1.252638429516622, 'scores': {'f1_macro': 0.5463479086881007, 'accuracy': 0.5661904761904762}, 'train_time': 19.69016, 'eval_time': 5.0182}
{'epoch': 6, 'train_loss': 1.110552230789548, 'eval_losss': 1.225128834691791, 'scores': {'f1_macro': 0.5468851083382511, 'accuracy': 0.5595238095238095}, 'train_time': 19.70081, 'eval_time': 5.08201}
{'epoch': 7, 'train_loss': 1.1067236258302415, 'eval_losss': 1.3087594619042067, 'scores': {'f1_macro': 0.5987539891927092, 'accuracy': 0.6038095238095238}, 'train_time': 20.78479, 'eval_time': 5.29185}
{'epoch': 8, 'train_loss': 1.0467687958195095, 'eval_losss': 1.129839491708197, 'scores': {'f1_macro': 0.6139954975616606, 'accuracy': 0.6147619047619047}, 'train_time': 20.59085, 'eval_time': 7.94697}
{'epoch': 9, 'train_loss': 1.0220028454632986, 'eval_losss': 1.4941785780875856, 'scores': {'f1_macro': 0.6217311405359185, 'accuracy': 0.628095238095238}, 'train_time': 29.19305, 'eval_time': 4.94029}
{'epoch': 10, 'train_loss': 1.005382626567568, 'eval_losss': 1.2341200769400869, 'scores': {'f1_macro': 0.5962479324436408, 'accuracy': 0.5926190476190476}, 'train_time': 19.17325, 'eval_time': 4.82924}
{'epoch': 11, 'train_loss': 1.0138584213313602, 'eval_losss': 1.1107398319153732, 'scores': {'f1_macro': 0.63191131850128, 'accuracy': 0.6414285714285715}, 'train_time': 19.10615, 'eval_time': 4.9376}
{'epoch': 12, 'train_loss': 0.9739324868576867, 'eval_losss': 1.1803359498089256, 'scores': {'f1_macro': 0.6093437292766775, 'accuracy': 0.6021428571428571}, 'train_time': 19.12314, 'eval_time': 4.87088}
{'epoch': 13, 'train_loss': 1.0165392026163282, 'eval_losss': 1.1308302370540997, 'scores': {'f1_macro': 0.6140927552560422, 'accuracy': 0.6245238095238095}, 'train_time': 19.12658, 'eval_time': 4.81238}
{'epoch': 14, 'train_loss': 0.9743541047828538, 'eval_losss': 1.9244122207164764, 'scores': {'f1_macro': 0.5935795871199441, 'accuracy': 0.599047619047619}, 'train_time': 27.64683, 'eval_time': 8.99959}
{'epoch': 15, 'train_loss': 0.9500051271063941, 'eval_losss': 1.2134898291341252, 'scores': {'f1_macro': 0.6494041750101562, 'accuracy': 0.6478571428571429}, 'train_time': 22.59112, 'eval_time': 4.89164}
{'epoch': 16, 'train_loss': 0.9374649168621926, 'eval_losss': 1.3016765440598186, 'scores': {'f1_macro': 0.6091634949359027, 'accuracy': 0.616904761904762}, 'train_time': 19.32593, 'eval_time': 4.99869}
{'epoch': 17, 'train_loss': 0.9833304142951965, 'eval_losss': 1.0402488008198176, 'scores': {'f1_macro': 0.6481345082497983, 'accuracy': 0.6445238095238095}, 'train_time': 19.20683, 'eval_time': 4.88649}
{'epoch': 18, 'train_loss': 0.9497070669844037, 'eval_losss': 1.119631218706247, 'scores': {'f1_macro': 0.630871932791198, 'accuracy': 0.6342857142857142}, 'train_time': 19.22082, 'eval_time': 4.92045}
{'epoch': 19, 'train_loss': 0.9242735579467956, 'eval_losss': 1.2066800937679785, 'scores': {'f1_macro': 0.6219062870018451, 'accuracy': 0.6295238095238095}, 'train_time': 19.45601, 'eval_time': 4.8702}
{'epoch': 20, 'train_loss': 0.9503089852985882, 'eval_losss': 1.1774854535385684, 'scores': {'f1_macro': 0.5943079421635312, 'accuracy': 0.6138095238095238}, 'train_time': 19.20293, 'eval_time': 4.93593}
